,Facility Name,Permit Number,Permit Status,Permit Type,City,County,Violation Date,Is Addressed,Category,Type,Parameter,Units,Statistical Base,Measurement Value,Benchmark/Limit,Violation Notes,Violation Override,Feature Name,ViolationId,FacilityId,lat,lon
24,FLEISCHMANNS VINEGAR,WA0038598,Active,Industrial NPDES IP,SUMNER,Pierce,9/1/2020,No,Reporting Violations,Failure to Submit DMRs, , , , , , , ,001,1639579,85671776,47.2097434997559,-122.239387512207
25,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/2/2020,No,Effluent Violations,Numeric effluent violation, , , ,0.6612, , , , ,1639116,17635,47.464685,-122.809039
26,NATIONAL FISH & OYSTER,WA0038407,Active,Industrial NPDES IP,Olympia,Thurston,9/1/2020,No,Reporting Violations,Late Submittal of DMRs, , , , , , , , ,1639183,44937688,47.105145,-122.737493
27,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,3.8, , , , ,1639528,485225,46.6655616760254,-122.972503662109
28,LEWIS COUNTY CENTRAL TRANSFER STN,ST0006139,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,CENTRALIA,Lewis,9/1/2020,No,Reporting Violations,Late Submittal of DMRs, , , , , , , , ,1639534,92756561,46.6994400024414,-122.962776184082
29,FLEISCHMANNS VINEGAR,WA0038598,Active,Industrial NPDES IP,SUMNER,Pierce,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639580,85671776,47.2097434997559,-122.239387512207
30,FLEISCHMANNS VINEGAR,WA0038598,Active,Industrial NPDES IP,SUMNER,Pierce,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639581,85671776,47.2097434997559,-122.239387512207
31,MANKE LUMBER CO SUPERIOR WOOD,WA0040339,Active,Industrial NPDES IP,Sumner,Pierce,9/1/2020,No,Reporting Violations,Failure to Submit DMRs, , , , , , , ,002,1639619,1283,47.2498611111111,-122.244888888889
32,SHINING OCEAN,ST0006219,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,Sumner,Pierce,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,56720, , , , ,1638860,22974,47.2131004333496,-122.236000061035
33,INDIAN CREEK WATER PLANT,WAG641001,Active,Water Treatment Plant GP,ILWACO,Pacific,9/1/2020,N/A,Reporting Violations,Late Submittal of DMRs, , , , , , ,Violation cause already acknowledged, ,1640602,14432,46.3147010803223,-124.036003112793
34,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Biochemical Oxygen Demand (BOD5) (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1638295,11563279,46.903980255127,-123.998497009277
35,FLEISCHMANNS VINEGAR,WA0038598,Active,Industrial NPDES IP,SUMNER,Pierce,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,0.624, , , , ,1639582,85671776,47.2097434997559,-122.239387512207
36,MCFARLAND CASCADE POLE & LUMBER CO,WA0037953,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,13.3, , , , ,1639665,1222,47.2567527210511,-122.410580062591
37,Yelm Water Reclamation Facility,WA0040762,Active,Reclaimed Water IP,YELM,Thurston,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,10.5, , , , ,1638925,11300,46.9509201049805,-122.596603393555
38,MORTON STP,WA0022659,Active,Municipal NPDES IP,Morton,Lewis,9/1/2020,No,Reporting Violations,Late Submittal of DMRs, , , , , , , , ,1641553,20575,46.56155,-122.29347
39,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Biochemical Oxygen Demand (BOD5) (Total),Milligrams/L (mg/L),Average Monthly, , , , ,001,1638295,11563279,46.903980255127,-123.998497009277
40,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Biochemical Oxygen Demand (BOD5) (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1638295,11563279,46.903980255127,-123.998497009277
41,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Carbonaceous Biochemical Oxygen Demand (CBOD5) (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1638972,1900021,46.9741096496582,-123.872230529785
42,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Chlorine (Total residual),Micrograms/L (ug/L),Average Monthly, , , , ,001,1638291,11563279,46.903980255127,-123.998497009277
43,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Fecal Coliform,#/100ml,Single Sample, , , , ,001,1638292,11563279,46.903980255127,-123.998497009277
44,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Fecal Coliform,#/100ml,Daily Maximum, ,400 / 400, , ,001,1638292,11563279,46.903980255127,-123.998497009277
45,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Carbonaceous Biochemical Oxygen Demand (CBOD5) (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1638972,1900021,46.9741096496582,-123.872230529785
46,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Chlorine (Total residual),Micrograms/L (ug/L),Single Sample, , , , ,001,1638291,11563279,46.903980255127,-123.998497009277
47,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Chlorine (Total residual),Micrograms/L (ug/L),Daily Maximum, , , , ,001,1638291,11563279,46.903980255127,-123.998497009277
48,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Fecal Coliform,#/100ml,Average Monthly, ,200 / 200, , ,001,1638292,11563279,46.903980255127,-123.998497009277
49,PRO-TECH INDUSTRIES INC,ST0006194,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,VANCOUVER,Clark,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Single Sample, , , , ,S001,1637976,8793389,45.7229690551758,-122.668006896973
50,PRO-TECH INDUSTRIES INC,ST0006194,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,VANCOUVER,Clark,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Average Monthly, ,750 / 750, , ,S001,1637976,8793389,45.7229690551758,-122.668006896973
51,Riverence LP,WA0040819,Active,Industrial NPDES IP,ROCHESTER,Thurston,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Million Gallons/Day (MGD),Single Sample, , , , ,001,1638857,89649215,46.8364372253418,-123.099822998047
52,Riverence LP,WA0040819,Active,Industrial NPDES IP,ROCHESTER,Thurston,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Million Gallons/Day (MGD),Daily Maximum, , , , ,001,1638857,89649215,46.8364372253418,-123.099822998047
53,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Daily Maximum, , , , ,007S,1641513,84465916,47.26871,-122.40124
54,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Average Monthly, , , , ,007S,1638542,84465916,47.26871,-122.40124
55,PRO-TECH INDUSTRIES INC,ST0006194,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,VANCOUVER,Clark,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Daily Maximum, ,1500 / 1500, , ,S001,1637976,8793389,45.7229690551758,-122.668006896973
56,Riverence LP,WA0040819,Active,Industrial NPDES IP,ROCHESTER,Thurston,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Million Gallons/Day (MGD),Average Monthly, , , , ,001,1638857,89649215,46.8364372253418,-123.099822998047
57,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Average Monthly, , , , ,007S,1641513,84465916,47.26871,-122.40124
58,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Single Sample, , , , ,007S,1641513,84465916,47.26871,-122.40124
59,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Daily Maximum, , , , ,007S,1638542,84465916,47.26871,-122.40124
60,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Single Sample, , , , ,007S,1638542,84465916,47.26871,-122.40124
61,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Kjeldahl Nitrogen (TKN) (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1638973,1900021,46.9741096496582,-123.872230529785
62,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,"Oil & Grease (Total recoverable, FOG,HEM)",Milligrams/L (mg/L),Average Monthly, ,100 / 100, , ,001,1638976,1900021,46.9741096496582,-123.872230529785
63,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Single Sample, , , , ,001,1638298,11563279,46.903980255127,-123.998497009277
64,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Daily Maximum, , , , ,001,1638298,11563279,46.903980255127,-123.998497009277
65,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Kjeldahl Nitrogen (TKN) (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1638973,1900021,46.9741096496582,-123.872230529785
66,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,"Oil & Grease (Total recoverable, FOG,HEM)",Milligrams/L (mg/L),Single Sample, , , , ,001,1638976,1900021,46.9741096496582,-123.872230529785
67,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,"Oil & Grease (Total recoverable, FOG,HEM)",Milligrams/L (mg/L),Daily Maximum, ,150 / 150, , ,001,1638976,1900021,46.9741096496582,-123.872230529785
68,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Average Monthly, , , , ,001,1638298,11563279,46.903980255127,-123.998497009277
69,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Single Sample, , , , ,001,1638296,11563279,46.903980255127,-123.998497009277
70,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Average Monthly, , , , ,001,1638296,11563279,46.903980255127,-123.998497009277
71,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Single Sample, , , , ,001,1638975,1900021,46.9741096496582,-123.872230529785
72,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Lbs/Day,Single Sample, , , , ,001,1638290,11563279,46.903980255127,-123.998497009277
73,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Lbs/Day,Daily Maximum, , , , ,001,1638290,11563279,46.903980255127,-123.998497009277
74,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Average Monthly, , , , ,001,1638294,11563279,46.903980255127,-123.998497009277
75,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Production,Lbs/Day,Daily Maximum, , , , ,001,1638296,11563279,46.903980255127,-123.998497009277
76,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1638975,1900021,46.9741096496582,-123.872230529785
77,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Lbs/Day,Average Monthly, , , , ,001,1638290,11563279,46.903980255127,-123.998497009277
78,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Single Sample, , , , ,001,1638294,11563279,46.903980255127,-123.998497009277
79,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1638294,11563279,46.903980255127,-123.998497009277
80,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Single Sample, , , , ,001,1638974,1900021,46.9741096496582,-123.872230529785
81,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Daily Maximum, ,150 / 150, , ,001,1638974,1900021,46.9741096496582,-123.872230529785
82,"Pacific Aquaculture - Shelton, LLC",WAG131062,Active,Upland Fish Hatchery GP,SHELTON,Mason,9/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Settleable Solids),Mililiter per liter (ml/L),Maximum, , , , , ,1639680,14909,47.3236122131348,-123.216667175293
83,"Pacific Aquaculture - Shelton, LLC",WAG131062,Active,Upland Fish Hatchery GP,SHELTON,Mason,9/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Settleable Solids),Mililiter per liter (ml/L),Minimum, , , , , ,1639680,14909,47.3236122131348,-123.216667175293
84,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Temperature (Measured),Degrees C,Average Monthly, , , , ,001,1638293,11563279,46.903980255127,-123.998497009277
85,OCEAN PROTEIN LLC,ST0006231,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,HOQUIAM,Grays Harbor,9/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total suspended (TSS)),Milligrams/L (mg/L),Average Monthly, ,100 / 100, , ,001,1638974,1900021,46.9741096496582,-123.872230529785
86,"Pacific Aquaculture - Shelton, LLC",WAG131062,Active,Upland Fish Hatchery GP,SHELTON,Mason,9/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Settleable Solids),Mililiter per liter (ml/L),Single Sample, , , , , ,1639680,14909,47.3236122131348,-123.216667175293
87,"Pacific Aquaculture - Shelton, LLC",WAG131062,Active,Upland Fish Hatchery GP,SHELTON,Mason,9/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Settleable Solids),Mililiter per liter (ml/L),Average, ,0.1 / 0.1, , , ,1639680,14909,47.3236122131348,-123.216667175293
88,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Temperature (Measured),Degrees C,Single Sample, , , , ,001,1638293,11563279,46.903980255127,-123.998497009277
89,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Temperature (Measured),Degrees C,Daily Maximum, , , , ,001,1638293,11563279,46.903980255127,-123.998497009277
90,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,pH (Hydrogen Ion) (Unknown),Standard Units,Single Sample, , , , ,001,1638297,11563279,46.903980255127,-123.998497009277
91,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,pH (Hydrogen Ion) (Unknown),Standard Units,Maximum, ,9 / 9, , ,001,1638297,11563279,46.903980255127,-123.998497009277
92,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,0.7751, , , , ,1638803,17635,47.464685,-122.809039
93,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639036,6751045,46.908145904541,-124.116798400879
94,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,0.7751, , , , ,1639115,17635,47.464685,-122.809039
95,OCEAN SPRAY CRANBERRIES INC,WA0003271,Active,Industrial NPDES IP,Aberdeen,Grays Harbor,9/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,pH (Hydrogen Ion) (Unknown),Standard Units,Minimum, , , , ,001,1638297,11563279,46.903980255127,-123.998497009277
96,SHELTON STP,WA0023345,Active,Municipal NPDES IP,Shelton,Mason,9/1/2020,Yes,Design Criteria Exceedance,Exceedance of Design Criteria, , , ,2296.11, , , , ,1638761,74171645,47.20567,-123.07747
97,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639035,6751045,46.908145904541,-124.116798400879
98,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,1.2, , , , ,1639037,6751045,46.908145904541,-124.116798400879
99,Schnitzer Steel,WA0040347,Active,Industrial NPDES IP,TACOMA,Pierce,9/1/2020,No,Effluent Violations,Numeric effluent violation, , , ,50000, , , , ,1638992,1227,47.268440246582,-122.369270324707
100,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639027,6751045,46.908145904541,-124.116798400879
